sttime,sbytes,dbytes,spkts,dpkts,sload,dload,dur,sbytes_diff,sbytes_lag1,sbytes_lag2,sbytes_lag3
2024-08-28 12:05:00,0.0010419695647959,0.0028181599477609,0.0129870129870129,0.032258064516129,0.0002178404605263,0.029877659267627,0.001139,0.0,0.0010419695647959,0.0121886207230784,0.0255161384123291
2024-08-28 12:06:00,0.0181011922070369,0.0282503350860913,0.1948051948051948,0.2903225806451612,0.0003882542880639,0.0460955111902761,0.013982,0.0170592226422409,0.0010419695647959,0.0010419695647959,0.0121886207230784
2024-08-28 12:07:00,0.0181011922070369,0.0282503350860913,0.1948051948051948,0.2903225806451612,9.721479971804512e-05,0.0115418325695802,0.055841,0.0,0.0181011922070369,0.0010419695647959,0.0010419695647959
2024-08-28 12:08:00,0.0121886207230784,0.0141595353472866,0.0909090909090909,0.1612903225806451,5.399995963345865e-07,4.802593468105804e-05,6.411868,-0.0059125714839585,0.0181011922070369,0.0181011922070369,0.0010419695647959
2024-08-28 12:09:00,0.0304352040321798,0.3980135409148709,0.5064935064935066,0.6774193548387096,5.593548999060152e-06,0.0055959624388693,1.676878,0.0182465833091014,0.0121886207230784,0.0181011922070369,0.0181011922070369
2024-08-28 12:10:00,0.0010177377144518,0.0027837921435199,0.0129870129870129,0.032258064516129,1.260436920112782e-05,0.00173392741074,0.019387,-0.029417466317728,0.0304352040321798,0.0121886207230784,0.0181011922070369
2024-08-28 12:11:00,0.0198458854318115,0.1747259167611781,0.1688311688311688,0.2903225806451612,4.5908218045112797e-07,0.0003112031242737,12.807509,0.0188281477173596,0.0010177377144518,0.0304352040321798,0.0121886207230784
2024-08-28 12:13:00,0.0181011922070369,0.0282503350860913,0.1948051948051948,0.2903225806451612,2.4000156945488725e-06,0.0002849420126415,2.26189,-0.0017446932247746,0.0198458854318115,0.0010177377144518,0.0304352040321798
2024-08-28 12:14:00,0.0181011922070369,0.0282503350860913,0.1948051948051948,0.2903225806451612,2.792709006578948e-06,0.0003315645564684,1.943837,0.0,0.0181011922070369,0.0198458854318115,0.0010177377144518
2024-08-28 12:15:00,0.0198458854318115,0.1747259167611781,0.1688311688311688,0.2903225806451612,1.5568338815789473e-07,0.0001055348304297,37.767029,0.0017446932247746,0.0181011922070369,0.0181011922070369,0.0198458854318115
2024-08-28 12:16:00,0.0010419695647959,0.0028181599477609,0.0129870129870129,0.032258064516129,0.0002645205885808,0.0362800203831188,0.000938,-0.0188039158670156,0.0198458854318115,0.0181011922070369,0.0181011922070369
2024-08-28 12:17:00,0.027333527188136,0.5912293363577001,0.3766233766233766,0.6774193548387096,3.2060730441729325e-06,0.005340200778804,2.610178,0.0262915576233401,0.0010419695647959,0.0198458854318115,0.0181011922070369
2024-08-28 12:18:00,0.0304352040321798,0.3980135409148709,0.5064935064935066,0.6774193548387096,4.046711627819549e-06,0.0040484579282509,2.317857,0.0031016768440438,0.027333527188136,0.0010419695647959,0.0198458854318115
